var,descricao,descritor,nivel,peso
ajudar_pessoas_hab_tic,AJUDAR†OUTRAS†PESSOAS†A†ADQUIRIREM†HABILIDADES†EM†TIC†DURANTE†A†APLICAÁ„O†DE†UMA†ATIVIDADE.††††††††††††††††††††††††††††††††††,CURRÕCULO E AVALIA«√O,1,0.9
des_curso_gestao,"DESENVOLVER†OFICINAS/CURSOS†QUE†VISA†HABILIDADES†DE†BUSCA,†GEST„O†E†AN·LISE†PARA†O†PUBLICO-ALVO.",CURRÕCULO E AVALIA«√O,3,0.9
material_rede_hab_comunica,DISPOR†NA†REDE†O†MATERIAL†A†SER†TRABALHADO†COM†O††PUBLICO-ALVO†PREVENDO†O†USO†INTEGRADO†DA†TECNOLOGIA†QUE†PROMOVAM†HABILIDADES†DE†COMUNICAÁ„O†E†COLABORAÁ„O.,CURRÕCULO E AVALIA«√O,2,0.6
util_recurso_web2_obj_ap,"IDENTIFICAR†E†UTILIZAR†OS†DIVERSOS†RECURSOS†DIGITAIS†EXISTENTES†NA†WEB†2.0†COMO†SIMULA«’ES†E†OBJETOS†DE†APRENDIZAGEM,†VISANDO†UMA†APRENDIZAGEM†SIGNIFICATIVA†DO†P⁄BLICO†ALVO.",CURRÕCULO E AVALIA«√O,2,0.8
integrar_tecnologias,INTEGRAR†EFETIVAMENTE†DIVERSAS†TECNOLOGIAS†DIGITAIS†NA†AVALIAÁ„O†CURRICULAR†E†NO†PROJETO†DESENVOLVIDO†NO†SEU†TRABALHO.†,CURRÕCULO E AVALIA«√O,3,1.0
justificar_uso_software,"JUSTIFICAR†O†USO†DE†UM†DOS†PACOTES†ESPECIFICOS†DE†PROGRAMAS†COMO:††WORD/WRITER;†POWERPOINT/IMPRESS;†CALC/PLANILHA;†INTERNET;†BLOG;†REDES†SOCIAIS,†NO†DESENVOLVIMENTO†DO†SEU†TRABALHO.",CURRÕCULO E AVALIA«√O,3,0.1
planejar_com_software,"PREPARAR†UM†PLANEJAMENTO†INCLUINDO†UM†DOS†PACOTES†ESPECÕFICOS†DE†PROGRAMAS†COMO:†WORD/WRITER;†POWERPOINT/IMPRESS;†CALC/PLANILHA;†INTERNET;†BLOG;†REDES†SOCIAIS,††NO†DESENVOLVIMENTO†DO†SEU†TRABALHO.",CURRÕCULO E AVALIA«√O,1,0.8
util_tic_aval_conhecimento,UTILIZAR†AS†TIC†PARA†AVALIAR†O†CONHECIMENTO†ADQUIRIDO†NO†DESENVOLVIMENTO†DE†UMA†ATIVIDADE†DANDO†FEEDBACK†PARA†O†PARTICIPANTE.,CURRÕCULO E AVALIA«√O,1,0.8
util_metodologia_tic_aval,"UTILIZAR†METODOLOGIAS†DIFERENCIADAS†COM†O†USO†DAS†TIC†(TECNOLOGIA†DA†INFORMAÁ„O†E†COMUNICAÁ√O)†COMO†WEBEQUEST,†GOOGLEDOCS,†MAPAS†CONCEITUAIS†QUE†PROMOVA†O†CONHECIMENTO†E†AVALIA†A†TEM·TICA†ESTUDADA.††",CURRÕCULO E AVALIA«√O,2,0.7
webconferenca_tic_educ,DISCUTIR†EM†UMA†WEBCONFERENCIA†ASSUNTOS†RELACIONADOS†‡†UTILIZAÁ„O†E†AO†DESENVOLVIMENTO†DE†MEIOS†E†RECURSOS†DAS†TICS†DIGITAIS†NA†EDUCAÁ„O†A†DIST‚NCIA†E†PRESENCIAL.,DESENVOLVIMENTO PROFISSIONAL DO DOCENTE,3,0.2
