nome_site,server,tamanho_bytes,tamanho_Kbytes,data_processado,data_acesso
stf,Microsoft-IIS,309806,302.54,'2018-05-29 15:10:29',"Tue, 29 May 2018 18:10:28 GMT"
stj,Apache,107808,105.28,'2018-05-29 15:10:30',"Tue, 29 May 2018 18:10:29 GMT"
stm,Apache,83646,81.69,'2018-05-29 15:10:32',"Tue, 29 May 2018 18:10:31 GMT"
tst,Outro,134365,131.22,'2018-05-29 15:10:34',"Tue, 29 May 2018 18:10:32 GMT"
cjf,Outro,112798,110.15,'2018-05-29 15:10:35',"Tue, 29 May 2018 18:10:34 GMT"
csjt,Outro,71019,69.35,'2018-05-29 15:10:39',"Tue, 29 May 2018 18:10:36 GMT"
tse,Nginx,93469,91.28,'2018-05-29 15:10:39',"Tue, 29 May 2018 18:10:39 GMT"
trf1,Apache,61464,60.02,'2018-05-29 15:10:39',"Tue, 29 May 2018 18:10:39 GMT"
trf2,Apache,69318,67.69,'2018-05-29 15:10:40',"Tue, 29 May 2018 18:10:39 GMT"
trf3,Apache,60819,59.39,'2018-05-29 15:10:41',"Tue, 29 May 2018 18:10:40 GMT"
trf4,Apache,79882,78.01,'2018-05-29 15:10:42',"Tue, 29 May 2018 18:10:41 GMT"
trf5,Apache,69937,68.30,'2018-05-29 15:10:42',"Tue, 29 May 2018 18:10:42 GMT"
tjac,Nginx,103274,100.85,'2018-05-29 15:10:43',"Tue, 29 May 2018 18:10:29 GMT"
tjal,Apache,106972,104.46,'2018-05-29 15:10:44',"Tue, 29 May 2018 18:10:44 GMT"
tjap,Apache,47127,46.02,'2018-05-29 15:10:46',"Tue, 29 May 2018 18:08:16 GMT"
tjam,Nginx,83759,81.80,'2018-05-29 15:10:49',"Tue, 29 May 2018 18:11:11 GMT"
tjba,Outro,89718,87.62,'2018-05-29 15:10:50',"Tue, 29 May 2018 18:10:49 GMT"
tjce,Apache,84886,82.90,'2018-05-29 15:10:52',"Tue, 29 May 2018 18:10:51 GMT"
tjdft,Outro,49060,47.91,'2018-05-29 15:10:53',"Tue, 29 May 2018 18:10:52 GMT"
tjes,Nginx,57593,56.24,'2018-05-29 15:10:53',"Tue, 29 May 2018 18:10:53 GMT"
tjgo,Outro,38541,37.64,'2018-05-29 15:10:54',"Tue, 29 May 2018 18:10:54 GMT"
tjma,Apache,254372,248.41,'2018-05-29 15:10:55',"Tue, 29 May 2018 18:10:54 GMT"
tjmt,Outro,106603,104.10,'2018-05-29 15:10:56',"Tue, 29 May 2018 18:10:55 GMT"
tjms,Nginx,82335,80.41,'2018-05-29 15:10:58',"Tue, 29 May 2018 18:09:30 GMT"
tjmg,Apache,159415,155.68,'2018-05-29 15:11:03',"Tue, 29 May 2018 18:11:01 GMT"
tjpa,Outro,52604,51.37,'2018-05-29 15:11:04',"Tue, 29 May 2018 18:11:03 GMT"
tjpb,Outro,101845,99.46,'2018-05-29 15:11:05',"Tue, 29 May 2018 18:11:03 GMT"
tjpr,Nginx,135163,132.00,'2018-05-29 15:11:40',"Tue, 29 May 2018 18:11:40 GMT"
tjpe,Outro,95897,93.65,'2018-05-29 15:11:44',"Tue, 29 May 2018 18:11:43 GMT"
tjpi,Nginx,105541,103.07,'2018-05-29 15:11:48',"Tue, 29 May 2018 18:11:46 GMT"
tjrj,Outro,288435,281.67,'2018-05-29 15:11:49',"Tue, 29 May 2018 18:11:49 GMT"
tjrn,Apache,54477,53.20,'2018-05-29 15:11:51',"Tue, 29 May 2018 18:11:50 GMT"
tjrs,Apache,102177,99.78,'2018-05-29 15:11:52',"Tue, 29 May 2018 18:11:52 GMT"
tjro,Outro,60099,58.69,'2018-05-29 15:11:54',"Tue, 29 May 2018 18:14:58 GMT"
tjrr,Apache,63754,62.26,'2018-05-29 15:11:56',"Tue, 29 May 2018 18:11:55 GMT"
tjsc,Apache,118874,116.09,'2018-05-29 15:11:57',"Tue, 29 May 2018 18:11:56 GMT"
tjsp,Microsoft-IIS,58737,57.36,'2018-05-29 15:11:58',"Tue, 29 May 2018 18:11:57 GMT"
tjse,Apache,121420,118.57,'2018-05-29 15:11:59',"Tue, 29 May 2018 18:11:58 GMT"
tjto,Apache,117192,114.45,'2018-05-29 15:12:01',"Tue, 29 May 2018 18:14:04 GMT"
tre-ac,Nginx,106914,104.41,'2018-05-29 15:12:01',"Tue, 29 May 2018 18:12:01 GMT"
tre-al,Nginx,100773,98.41,'2018-05-29 15:12:02',"Tue, 29 May 2018 18:12:01 GMT"
tre-ap,Nginx,110489,107.90,'2018-05-29 15:12:02',"Tue, 29 May 2018 18:12:02 GMT"
tre-am,Nginx,107380,104.86,'2018-05-29 15:12:02',"Tue, 29 May 2018 18:12:02 GMT"
tre-ba,Nginx,106021,103.54,'2018-05-29 15:12:03',"Tue, 29 May 2018 18:12:03 GMT"
tre-ce,Nginx,102699,100.29,'2018-05-29 15:12:03',"Tue, 29 May 2018 18:12:03 GMT"
tre-df,Nginx,104744,102.29,'2018-05-29 15:12:03',"Tue, 29 May 2018 18:12:03 GMT"
tre-es,Nginx,100666,98.31,'2018-05-29 15:12:04',"Tue, 29 May 2018 18:12:04 GMT"
tre-go,Nginx,101050,98.68,'2018-05-29 15:12:04',"Tue, 29 May 2018 18:12:04 GMT"
tre-ma,Nginx,108262,105.72,'2018-05-29 15:12:04',"Tue, 29 May 2018 18:12:04 GMT"
tre-mt,Nginx,111633,109.02,'2018-05-29 15:12:05',"Tue, 29 May 2018 18:12:04 GMT"
tre-ms,Nginx,100412,98.06,'2018-05-29 15:12:05',"Tue, 29 May 2018 18:12:05 GMT"
tre-mg,Nginx,111060,108.46,'2018-05-29 15:12:05',"Tue, 29 May 2018 18:12:05 GMT"
tre-pa,Nginx,106837,104.33,'2018-05-29 15:12:06',"Tue, 29 May 2018 18:12:06 GMT"
tre-pb,Nginx,105266,102.80,'2018-05-29 15:12:06',"Tue, 29 May 2018 18:12:06 GMT"
tre-pr,Nginx,115802,113.09,'2018-05-29 15:12:06',"Tue, 29 May 2018 18:12:06 GMT"
tre-pe,Nginx,102826,100.42,'2018-05-29 15:12:07',"Tue, 29 May 2018 18:12:07 GMT"
tre-pi,Nginx,107325,104.81,'2018-05-29 15:12:07',"Tue, 29 May 2018 18:12:07 GMT"
tre-rj,Outro,72398,70.70,'2018-05-29 15:12:09',"Tue, 29 May 2018 18:12:08 GMT"
tre-rn,Nginx,114746,112.06,'2018-05-29 15:12:10',"Tue, 29 May 2018 18:12:10 GMT"
tre-rs,Nginx,47241,46.13,'2018-05-29 15:12:10',"Tue, 29 May 2018 18:12:10 GMT"
tre-ro,Nginx,104912,102.45,'2018-05-29 15:12:11',"Tue, 29 May 2018 18:12:10 GMT"
tre-rr,Nginx,96398,94.14,'2018-05-29 15:12:11',"Tue, 29 May 2018 18:12:11 GMT"
tre-sc,Apache,64628,63.11,'2018-05-29 15:12:12',"Tue, 29 May 2018 18:12:11 GMT"
tre-sp,Nginx,97289,95.01,'2018-05-29 15:12:12',"Tue, 29 May 2018 18:12:12 GMT"
tre-se,Nginx,106930,104.42,'2018-05-29 15:12:12',"Tue, 29 May 2018 18:12:12 GMT"
tre-to,Nginx,101295,98.92,'2018-05-29 15:12:12',"Tue, 29 May 2018 18:12:12 GMT"
