tipo,rank,site,nome_site,data,1.1.1,1.3.1,1.4.3,1.4.6,2.2.1,2.2.2,2.4.1,2.4.2,2.4.8,3.1.1,3.1.2,3.1.6,3.2.2,4.1.1,4.1.2,wcag2A,wcag2AA,wcag2AAA,total_erros
tre,1,http://www.tre-rj.jus.br/site/index.jsp,tre-rj,2018-05-29 15:17:31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
superiores,2,http://www.stf.jus.br,stf,2018-05-29 15:13:01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,2,2
superiores,3,http://www.csjt.jus.br,csjt,2018-05-29 15:13:17,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,2,2
estaduais,4,https://www.tjac.jus.br,tjac,2018-05-29 15:14:06,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,2,2
estaduais,5,http://www.tjrr.jus.br,tjrr,2018-05-29 15:15:41,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,2,2
trt,6,http://www.trt21.jus.br,trt21,2018-05-29 15:19:49,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,2,2
trt,7,http://www.trt23.jus.br,trt23,2018-05-29 15:19:58,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,2,2
militar,8,http://www.tjmsp.jus.br,tjmsp,2018-05-29 15:20:06,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,2,2
federais,9,http://www.trf3.jus.br,trf3,2018-05-29 15:13:58,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4
trt,10,http://www.trt12.jus.br/portal,trt12,2018-05-29 15:19:17,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,4,4
tre,11,http://www.tre-rs.jus.br,tre-rs,2018-05-29 15:17:37,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,4,4
trt,12,https://www.trt8.jus.br,trt8,2018-05-29 15:18:30,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,5,5
trt,13,http://www.trt4.jus.br,trt4,2018-05-29 15:18:15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,5,5,5,5
estaduais,14,http://www.tjrn.jus.br,tjrn,2018-05-29 15:15:32,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,9,9
trt,15,http://www.trt9.jus.br/portal,trt9,2018-05-29 15:18:31,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,9,9,9
federais,16,http://www.trf4.jus.br,trf4,2018-05-29 15:14:01,0,2,7,7,0,0,0,0,0,0,0,0,0,0,1,2,9,10,17
trt,17,http://www.trt2.jus.br,trt2,2018-05-29 15:18:10,0,0,11,11,0,0,0,0,0,0,0,0,0,0,1,1,12,12,23
trt,18,http://www.trt6.jus.br,trt6,2018-05-29 15:18:21,6,1,0,4,0,0,0,0,0,0,0,0,0,1,2,9,9,14,14
trt,19,http://www.trt18.jus.br,trt18,2018-05-29 15:19:41,3,0,0,4,0,0,2,0,0,0,0,0,1,0,4,10,10,14,14
estaduais,20,http://www.tjrs.jus.br,tjrs,2018-05-29 15:15:34,8,5,0,0,0,0,0,0,0,0,0,0,1,1,2,14,14,17,17
trt,21,http://www.trt24.jus.br/www_trtms,trt24,2018-05-29 15:19:59,6,7,0,0,0,0,0,1,0,1,0,0,0,0,3,14,14,18,18
cnj,22,http://www.cnj.jus.br,cnj,2018-05-29 15:20:08,4,3,0,0,0,0,0,0,0,0,0,0,1,0,10,16,16,18,18
estaduais,23,http://www.tjap.jus.br,tjap,2018-05-29 15:14:13,7,1,1,1,0,0,0,0,0,0,0,0,0,1,9,17,18,19,20
estaduais,24,http://www.tjsc.jus.br,tjsc,2018-05-29 15:15:45,0,12,0,0,0,0,0,0,0,0,0,0,1,0,7,14,14,20,20
superiores,25,http://www.stm.jus.br,stm,2018-05-29 15:13:07,0,7,0,0,0,0,1,0,0,0,0,0,0,0,17,21,21,25,25
trt,26,http://www.trt14.jus.br,trt14,2018-05-29 15:19:25,12,1,0,0,0,0,0,0,0,0,0,0,3,9,0,24,24,25,25
estaduais,27,http://www.tjpe.jus.br,tjpe,2018-05-29 15:15:16,8,5,0,11,0,0,0,0,0,0,0,0,1,0,1,11,11,26,26
federais,28,http://www.trf5.jus.br,trf5,2018-05-29 15:14:04,0,17,0,0,0,0,1,0,0,0,0,0,0,0,8,16,16,26,26
estaduais,29,http://www.tjam.jus.br,tjam,2018-05-29 15:14:16,10,8,0,0,0,0,7,0,0,0,0,0,0,1,0,21,21,26,26
trt,30,http://www.trt16.jus.br/site/index.php,trt16,2018-05-29 15:19:30,21,2,1,2,0,0,0,0,1,0,0,0,0,0,1,23,24,27,28
tre,31,http://www.tre-sc.jus.br/site/index.html,tre-sc,2018-05-29 15:17:50,9,1,0,0,0,0,0,0,0,0,0,0,0,13,4,26,26,27,27
superiores,32,http://www.stj.jus.br/portal/site/STJ,stj,2018-05-29 15:13:03,3,5,0,0,0,0,2,0,0,1,0,0,2,4,11,25,25,28,28
federais,33,http://www.trf1.jus.br/portaltrf1/pagina-inicial.htm,trf1,2018-05-29 15:13:53,17,7,0,0,0,0,0,0,0,0,0,0,3,0,3,26,26,30,30
trt,34,http://www.trt5.jus.br,trt5,2018-05-29 15:18:18,3,2,0,0,0,0,4,0,0,0,0,0,0,3,18,29,29,30,30
trt,35,http://www.trt20.jus.br,trt20,2018-05-29 15:19:47,9,14,0,0,0,0,0,0,0,1,0,0,0,0,11,28,28,35,35
trt,36,http://www.trt3.jus.br,trt3,2018-05-29 15:18:14,11,9,0,0,0,0,1,0,1,0,0,0,2,1,11,30,30,36,36
estaduais,37,http://www.tjpa.jus.br/PortalExterno,tjpa,2018-05-29 15:14:56,25,5,0,0,0,0,0,0,0,1,0,0,0,1,4,33,33,36,36
