nome_site,ordem,erro,total
tre-rj,1,"1.1.1",1
tre-rj,1,"1.3.1",1
stf,2,"2.4.2",1
stf,2,"3.1.1",1
csjt,3,"2.4.2",1
csjt,3,"3.1.1",1
tjac,4,"2.4.2",1
tjac,4,"3.1.1",1
tjrr,5,"2.4.2",1
tjrr,5,"3.1.1",1
trt21,6,"2.4.2",1
trt21,6,"3.1.1",1
trt23,7,"2.4.2",1
trt23,7,"3.1.1",1
tjmsp,8,"2.4.2",1
tjmsp,8,"3.1.1",1
trf3,9,"1.3.1",2
trf3,9,"4.1.2",2
trt12,10,"1.3.1",2
trt12,10,"2.4.8",1
trt12,10,"3.2.2",1
tre-rs,11,"1.3.1",2
tre-rs,11,"3.2.2",2
trt8,12,"1.3.1",1
trt8,12,"2.4.1",4
trt4,13,"2.4.1",4
trt4,13,"4.1.2",1
tjrn,14,"1.1.1",5
tjrn,14,"1.3.1",3
tjrn,14,"4.1.2",1
trt9,15,"1.1.1",6
trt9,15,"2.4.1",3
trf4,16,"1.3.1",2
trf4,16,"1.4.3",7
trf4,16,"1.4.6",7
trf4,16,"4.1.2",1
trt2,17,"1.4.3",11
trt2,17,"1.4.6",11
trt2,17,"4.1.2",1
trt6,18,"1.1.1",6
trt6,18,"1.3.1",1
trt6,18,"1.4.6",4
trt6,18,"4.1.1",1
trt6,18,"4.1.2",2
trt18,19,"1.1.1",3
trt18,19,"1.4.6",4
trt18,19,"2.4.1",2
trt18,19,"3.2.2",1
trt18,19,"4.1.2",4
tjrs,20,"1.1.1",8
tjrs,20,"1.3.1",5
tjrs,20,"3.2.2",1
tjrs,20,"4.1.1",1
tjrs,20,"4.1.2",2
trt24,21,"1.1.1",6
trt24,21,"1.3.1",7
trt24,21,"2.4.2",1
trt24,21,"3.1.1",1
trt24,21,"4.1.2",3
cnj,22,"1.1.1",4
cnj,22,"1.3.1",3
cnj,22,"3.2.2",1
cnj,22,"4.1.2",10
tjap,23,"1.1.1",7
tjap,23,"1.3.1",1
tjap,23,"1.4.3",1
tjap,23,"1.4.6",1
tjap,23,"4.1.1",1
tjap,23,"4.1.2",9
tjsc,24,"1.3.1",12
tjsc,24,"3.2.2",1
tjsc,24,"4.1.2",7
stm,25,"1.3.1",7
stm,25,"2.4.1",1
stm,25,"4.1.2",17
trt14,26,"1.1.1",12
trt14,26,"1.3.1",1
trt14,26,"3.2.2",3
trt14,26,"4.1.1",9
tjpe,27,"1.1.1",8
tjpe,27,"1.3.1",5
tjpe,27,"1.4.6",11
