Ordem,Sigla,Classificacao,URL
1,STF,SUPERIOR,http://www.stf.jus.br
2,STJ,SUPERIOR,http://www.stj.jus.br/portal/site/STJ
3,STM,SUPERIOR,http://www.stm.jus.br
4,TST,SUPERIOR,http://www.tst.jus.br
5,CJF,SUPERIOR,http://www.cjf.jus.br/cjf/
6,CSJT,SUPERIOR,http://www.csjt.jus.br
7,TSE,SUPERIOR,http://www.tse.jus.br
8,TRF1,FEDERAL,http://www.trf1.jus.br/portaltrf1/pagina-inicial.htm
9,TRF2,FEDERAL,http://www10.trf2.jus.br/portal/
10,TRF3,FEDERAL,http://www.trf3.jus.br
11,TRF4,FEDERAL,http://www.trf4.jus.br
12,TRF5,FEDERAL,http://www.trf5.jus.br
13,TJAC,ESTADUAL,https://www.tjac.jus.br
14,TJAL,ESTADUAL,http://www.tjal.jus.br
15,TJAP,ESTADUAL,http://www.tjap.jus.br
16,TJAM,ESTADUAL,http://www.tjam.jus.br
17,TJBA,ESTADUAL,http://www.tjba.jus.br
18,TJCE,ESTADUAL,http://www.tjce.jus.br
19,TJDFT,ESTADUAL,http://www.tjdft.jus.br
20,TJES,ESTADUAL,http://www.tjes.jus.br
21,TJGO,ESTADUAL,http://www.tjgo.jus.br
22,TJMA,ESTADUAL,http://www.tjma.jus.br
23,TJMT,ESTADUAL,http://www.tjmt.jus.br
24,TJMS,ESTADUAL,http://www.tjms.jus.br
25,TJMG,ESTADUAL,http://www.tjmg.jus.br
26,TJPA,ESTADUAL,http://www.tjpa.jus.br/PortalExterno
27,TJPB,ESTADUAL,http://www.tjpb.jus.br
28,TJPR,ESTADUAL,http://www.tjpr.jus.br
29,TJPE,ESTADUAL,http://www.tjpe.jus.br
30,TJPI,ESTADUAL,http://www.tjpi.jus.br/portaltjpi/index.php
31,TJRJ,ESTADUAL,http://www.tjrj.jus.br
32,TJRN,ESTADUAL,http://www.tjrn.jus.br
33,TJRS,ESTADUAL,http://www.tjrs.jus.br
34,TJRO,ESTADUAL,http://www.tjro.jus.br
35,TJRR,ESTADUAL,http://www.tjrr.jus.br
36,TJSC,ESTADUAL,http://www.tjsc.jus.br
37,TJSP,ESTADUAL,http://www.tjsp.jus.br
38,TJSE,ESTADUAL,http://www.tjse.jus.br/portal/
39,TJTO,ESTADUAL,http://www.tjto.jus.br
40,TRE-AC,TRE,http://www.tre-ac.jus.br
41,TRE-AL,TRE,http://www.tre-al.jus.br
42,TRE-AP,TRE,http://www.tre-ap.jus.br
43,TRE-AM,TRE,http://www.tre-am.jus.br
44,TRE-BA,TRE,http://www.tre-ba.jus.br
45,TRE-CE,TRE,http://www.tre-ce.jus.br
46,TRE-DF,TRE,http://www.tre-df.jus.br
47,TRE-ES,TRE,http://www.tre-es.jus.br
48,TRE-GO,TRE,http://www.tre-go.jus.br
49,TRE-MA,TRE,http://www.tre-ma.jus.br
50,TRE-MT,TRE,http://www.tre-mt.jus.br
51,TRE-MS,TRE,http://www.tre-ms.jus.br
52,TRE-MG,TRE,http://www.tre-mg.jus.br
53,TRE-PA,TRE,http://www.tre-pa.jus.br
54,TRE-PB,TRE,http://www.tre-pb.jus.br
55,TRE-PR,TRE,http://www.tre-pr.jus.br
56,TRE-PE,TRE,http://www.tre-pe.jus.br
57,TRE-PI,TRE,http://www.tre-pi.jus.br
58,TRE-RJ,TRE,http://www.tre-rj.jus.br/site/index.jsp
59,TRE-RN,TRE,http://www.tre-rn.jus.br
60,TRE-RS,TRE,http://www.tre-rs.jus.br
61,TRE-RO,TRE,http://www.tre-ro.jus.br
62,TRE-RR,TRE,http://www.tre-rr.jus.br
63,TRE-SC,TRE,http://www.tre-sc.jus.br/site/index.html
64,TRE-SP,TRE,http://www.tre-sp.jus.br
65,TRE-SE,TRE,http://www.tre-se.jus.br
66,TRE-TO,TRE,http://www.tre-to.jus.br
67,TRT1,TRT,http://www.trt1.jus.br/web/guest/institucional1
68,TRT2,TRT,http://www.trt2.jus.br
69,TRT3,TRT,http://www.trt3.jus.br
70,TRT4,TRT,http://www.trt4.jus.br
71,TRT5,TRT,http://www.trt5.jus.br
72,TRT6,TRT,http://www.trt6.jus.br
73,TRT7,TRT,http://www.trt7.jus.br
74,TRT8,TRT,https://www.trt8.jus.br
75,TRT9,TRT,http://www.trt9.jus.br/portal
76,TRT10,TRT,http://www.trt10.jus.br
77,TRT11,TRT,http://www.trt11.jus.br
78,TRT12,TRT,http://www.trt12.jus.br/portal
79,TRT13,TRT,http://www.trt13.jus.br
80,TRT14,TRT,http://www.trt14.jus.br
81,TRT15,TRT,http://portal.trt15.jus.br
82,TRT16,TRT,http://www.trt16.jus.br/site/index.php
83,TRT17,TRT,http://www.trt17.jus.br
84,TRT18,TRT,http://www.trt18.jus.br
85,TRT19,TRT,http://www.trt19.jus.br/portalTRT19
86,TRT20,TRT,http://www.trt20.jus.br
87,TRT21,TRT,http://www.trt21.jus.br
88,TRT22,TRT,http://www.trt22.jus.br/portal/home.jsp
89,TRT23,TRT,http://www.trt23.jus.br
90,TRT24,TRT,http://www.trt24.jus.br/www_trtms
91,TJMMG,MILITAR,http://www.tjmmg.jus.br
92,TJMRS,MILITAR,https://www.tjmrs.jus.br
93,TJMSP,MILITAR,http://www.tjmsp.jus.br
94,CNJ,CNJ,http://www.cnj.jus.br
